Flughafen;Landungen gesamt;Starts;Landungen;Passagiere;Einsteiger;Aussteiger;Latitude;Longitude
Berlin-Schönefeld      ;7656;3830;3826;972000;485000;484000;;
Berlin-Tegel           ;16075;8039;8036;1978000;985000;992000;;
Bremen                 ;3025;1517;1508;247000;128000;117000;;
Dortmund               ;1721;860;861;175000;87000;88000;;
Dresden                ;2113;1053;1060;165000;85000;80000;;
Düsseldorf             ;19482;9743;9739;2222000;1129000;1092000;;
Erfurt                 ;509;256;253;25000;13000;12000;;
Frankfurt/Main         ;40619;20308;20311;5506000;2733000;2762000;;
Friedrichshafen        ;771;386;385;46000;23000;23000;;
Hahn                   ;1675;838;837;241000;116000;116000;;
Hamburg                ;13189;6603;6586;1468000;741000;722000;;
Hannover               ;6397;3198;3199;520000;272000;247000;;
Karlsruhe/Baden-Baden  ;1642;823;819;120000;60000;59000;;
Köln/Bonn              ;11249;5613;5636;1111000;564000;546000;;
Leipzig/Halle          ;5184;2605;2579;228000;117000;110000;;
Memmingen              ;922;462;460;88000;43000;45000;;
München                ;35013;17512;17501;3857000;1916000;1931000;;
Münster/Osnabrück      ;1730;864;866;86000;44000;41000;;
Niederrhein            ;1323;664;659;187000;96000;92000;;
Nürnberg               ;3685;1830;1855;323000;162000;158000;;
Paderborn/Lippstadt    ;1320;652;668;80000;40000;38000;;
Rostock-Laage          ;1005;499;506;27000;13000;14000;;
Saarbrücken            ;875;438;437;52000;25000;25000;;
Stuttgart              ;10891;5470;5421;1016000;509000;504000;;
Sylt-Westerland        ;919;460;459;17000;8000;8000;;
